city_id,name,category,note
,IHクッキングヒーター（一口型）（60cm未満）,もえないごみ,
,IHクッキングヒーター（一口型）（60cm以上）,連絡ごみ,
,IHクッキングヒーター（二口型以上）（大小問わず）,連絡ごみ,
,アイロン（かけ面が金属製）（大小問わず）,連絡ごみ,
,アイロン（かけ面が金属製以外）,もえないごみ,
,アイロン台（金属有り）（60cm未満）,もえないごみ,
,アイロン台（金属無し）（60cm未満）,もえるごみ,
,アイロン台（60cm以上）,連絡ごみ,
,アクセサリー（金属製）,もえないごみ,
,アクリル板（60cm未満）,もえるごみ,
,アクリル板（60cm以上）,連絡ごみ,5枚までごとに（90cm×180cmまでのものを1枚とする）
,アコーディオン（楽器）（大小問わず）,連絡ごみ,
,アコーディオンカーテン（60cm以上）,連絡ごみ,
,アタッシュケース（60cm未満）,もえないごみ,
,アタッシュケース（60cm以上）,連絡ごみ,
,アダプター（家電用）,もえないごみ,※使用済小型家電の回収対象品目
,圧力鍋・圧力釜（大小問わず）,連絡ごみ,
,油(エンジンオイル)（少量）,もえるごみ（自己搬入）,オイル処理パックに入れて、「もえるごみ」として自己搬入
,油(廃食用油),廃食用油の回収,使用済てんぷら油（廃食用油）の回収にご協力ください
,油(廃食用油)（少量）,もえるごみ,紙・布等に染み込ませるか凝固剤で固めて出す
,雨戸（大小問わず）,連絡ごみ,1枚までごとに（90cm×180cmまでのものを1枚とする）自分で交換したものに限る
,雨どい（金属製）（60cm未満）,もえないごみ,
,雨どい（プラスチック製）（60cm未満）,もえるごみ,
,雨どい（60cm以上）,連絡ごみ,10本までごとに
,編み機（60cm未満）,もえないごみ,
,編み機（60cm以上）,連絡ごみ,
,網戸（網部分）,もえるごみ,長さ60cm未満に切る
,網戸（フレーム）（大小問わず）,連絡ごみ,5枚までごとに（90cm×180cmまでのものを1枚とする）自分で交換したものに限る
,アルバム,もえるごみ,金属類は、可能な限り取り外して「もえないごみ」
,アルミサッシ（大小問わず）,連絡ごみ,1枚までごとに（90cm×180cmまでのものを1枚とする）自分で交換したものに限る
,アルミはく（薄いもの）,もえるごみ,
,アルミはく（厚いもの）,もえないごみ,鍋焼きうどんの容器・レンジガード等
,あんか,もえないごみ,
,安全靴,もえないごみ,金属等使用のため
,安全ピン,もえないごみ,
,アンテナ　（60cm未満）,もえないごみ,
,アンテナ　（60cm以上）,連絡ごみ,
,アンテナケーブル,もえないごみ,長さ60cm未満に切る
,アンプ（オーディオ用・楽器用）（大小問わず）,連絡ごみ,※使用済小型家電の回収対象品目
,ＥＴＣ車載ユニット,もえないごみ,※使用済小型家電の回収対象品目
,石（10cm未満の石に限る）,連絡ごみ,土のう袋1袋までごとに（30リットル）10cm以上の石は業者へ
,衣装箱（ケース）（金属製）（60cm未満）,もえないごみ,引き出しが複数ある棚型のものは「チェスト」を参照
,衣装箱（ケース）（金属製以外）（60cm未満）,もえるごみ,引き出しが複数ある棚型のものは「チェスト」を参照
,衣装箱（ケース）（60cm以上）,連絡ごみ,5個までごとに、引き出しが複数ある棚型のものは「チェスト」を参照
,椅子（回転式）（1人がけ用）（大小問わず）,連絡ごみ,
,椅子（回転式）（2人がけ用以上）（大小問わず）,連絡ごみ,
,椅子（回転式を除く）（1人がけ用・金属製）（60cm未満）,もえないごみ,
,椅子（回転式を除く）（1人がけ用・金属製以外）（60cm未満）,もえるごみ,
,椅子（回転式を除く）（1人がけ用）（60cm以上）,連絡ごみ,
,椅子（回転式を除く）（2人がけ用以上）（60cm以上）,連絡ごみ,
,板（厚さ5cm未満のもの）（60cm未満）,もえるごみ,
,板（厚さ5cm未満のもの）（60cm以上）,連絡ごみ,1枚までごとに（90cm×180cmまでのものを1枚とする）
,板（厚さ5cm以上のもの）,集積所に出してはいけないごみ,業者へ
,一輪車（子ども用遊具）（大小問わず）,連絡ごみ,
,一輪車（運搬用）（大小問わず）,連絡ごみ,
,一輪車タイヤのみ（チューブ入り）,もえるごみ,長さ60cm未満に切る
,一輪車タイヤのみ（ノーパンクタイヤ）,連絡ごみ,
,一輪車のホイール付タイヤ（運搬用）（大小問わず）,連絡ごみ,
,一斗缶,もえないごみ,
,一升びん,集団回収対象品目,資源物集団回収にご協力ください
,井戸用ポンプ（大小問わず）,連絡ごみ,
,犬小屋（かご及び柵も含む）（厚さ5cm未満の材質のもの）（金属製）（60cm未満）,もえないごみ,
,犬小屋（かご及び柵も含む）（厚さ5cm未満の材質のもの）（金属製以外）（60cm未満）,もえるごみ,
,犬小屋（かご及び柵も含む）（厚さ5cm未満の材質のもの）（60cm以上）,連絡ごみ,幅・奥行・高さの合計150cm未満
,犬小屋（かご及び柵も含む）（厚さ5cm未満の材質のもの）（60cm以上）,連絡ごみ,幅・奥行・高さの合計150cm以上250cm未満、1辺の長さが200cm以上の大型のものは、業者又は販売店等へ
,犬小屋（かご及び柵も含む）（厚さ5cm未満の材質のもの）（60cm以上）,連絡ごみ,幅・奥行・高さの合計250cm以上、1辺の長さが200cm以上の大型のものは、業者又は販売店等へ
,イヤホン,もえないごみ,※使用済小型家電の回収対象品目
,衣類（再生利用できるもの）,集団回収対象品目,資源物集団回収にご協力ください
,衣類（再生利用できないもの）,もえるごみ,長さ60cm未満に切る
,衣類乾燥機,集積所に出してはいけないごみ,家電リサイクルを参照
,入れ歯（義歯）,もえないごみ,
,印鑑（石製・金属製・象牙製）,もえないごみ,
,印鑑（プラスチック製・木製）,もえるごみ,
,印鑑ケース（金属製）,もえないごみ,
,印鑑ケース（布製・プラスチック製）,もえるごみ,
,インクカートリッジ,もえないごみ,
,インクカートリッジ,使用済インクカートリッジ回収対象品目,使用済インクカートリッジの回収にご協力ください
,インスタントカメラ,もえないごみ,
,インターホン,もえないごみ,
,ウインドサーフィン（大小問わず）,連絡ごみ,自己搬入に限る
,ウインドファン（フロン有り）,集積所に出してはいけないごみ,業者又は販売店等へ
,ウインドファン（フロン無し）（60cm未満）,もえないごみ,
,ウインドファン（フロン無し）（60cm以上）,連絡ごみ,
,ウェイクボード（60cm以上）,連絡ごみ,
,植木鉢（陶器製）,もえないごみ,
,植木鉢（プラスチック製・ビニール製）,もえるごみ,苗ポットでプラマークがついていてきれいなものは「プラスチック製容器包装」
,ウェットスーツ,もえるごみ,長さ60cm未満に切る
,ウォーターサーバー（フロン有り）,集積所に出してはいけないごみ,業者又は販売店等へ
,ウォーターサーバー（フロン無し）（大小問わず）,連絡ごみ,買取のものに限る　レンタル品は業者へ返却する
,ウォーターベッド（60cm以上）,連絡ごみ,水を抜いたものに限る
,浮き輪,もえるごみ,長さ60cm未満に切る
,うす（臼）（石製・木製）（大小問わず）,連絡ごみ,
,うちわ,もえるごみ,
,ウッドカーペット（60cm未満）,もえるごみ,
,ウッドカーペット（60cm以上）,連絡ごみ,6畳未満のもの
,ウッドカーペット（60cm以上）,連絡ごみ,6畳以上のもの
,腕時計,もえないごみ,電池類は取り外して「特定品目」※使用済小型家電の回収対象品目
,乳母車（バギー）（60cm以上）,連絡ごみ,
,ウレタン,もえるごみ,長さ60cm未満に切る
,運動靴,もえるごみ,
,エアコン,集積所に出してはいけないごみ,家電リサイクルを参照
,エアゾール缶,特定品目,中身は可能な限り使い切る（穴あけは不要）キャップは取り外す
,エアロバイク（トレーニング機器）（大小問わず）,連絡ごみ,
,ＨＤＤレコーダー,もえないごみ,※使用済小型家電の回収対象品目
,AED,もえないごみ,電池類は取り外して「特定品目」
,ＡＣアダプタ（家電用）,もえないごみ,※使用済小型家電の回収対象品目
,AVモニター（大小問わず）,連絡ごみ,パソコンリサイクルの対象品目以外のもの、チューナーがついていないか確認する
,エキスパンダー,もえないごみ,
,枝切りばさみ（60cm未満）,もえないごみ,危なくないように刃は紙等で包む
,枝切りばさみ（60cm以上）,連絡ごみ,危なくないように刃は紙等で包む
,"枝類（太さ5cm未満
長さ60cm未満）",もえるごみ,ひもで束ねる（袋不要）、多量にある場合は自己搬入
,"枝類（太さ15cm未満
長さ100cm未満）",みどりのリサイクル,みどりのリサイクルを参照
,"枝類（太さ5cm以上
又は
長さ60cm以上）",集積所に出してはいけないごみ,再生利用指定業者へ
,絵の具（少量）,もえるごみ,紙・布等に染み込ませる
,絵の具（多量）,集積所に出してはいけないごみ,業者又は販売店等へ
,絵の具の容器（プラスチック製）,もえるごみ,中身は取り除く
,絵の具の容器（金属製）,もえないごみ,中身は取り除く
,ＭＤ（ケースを含む）,もえるごみ,
,ＭＤプレーヤー,もえないごみ,電池類は取り外して「特定品目」※使用済小型家電の回収対象品目
,ＬＥＤ電球,もえないごみ,蛍光管のような形状のものも「もえないごみ」
,ＬＰガスボンベ,集積所に出してはいけないごみ,業者又は販売店等へ
,園芸支柱（金属製）（60cm未満）,もえないごみ,
,園芸支柱（金属製以外）（60cm未満）,もえるごみ,
,園芸支柱（60cm以上）,連絡ごみ,5本までごとに
,エンジンオイル（少量）,もえるごみ（自己搬入）,オイル処理パックに入れて、「もえるごみ」として自己搬入
,エンジン類,集積所に出してはいけないごみ,業者又は販売店等へ
,縁台（金属製）（60cm未満）,もえないごみ,
,縁台（金属製以外）（60cm未満）,もえるごみ,
,縁台（1人がけ用）（60cm以上）,連絡ごみ,
,縁台（2人がけ用以上）（60cm以上）,連絡ごみ,
,延長コード,もえないごみ,長さ60cm未満に切る
,延長コード（60cm以上）,連絡ごみ,長さ30mまでごとに
,えんぴつ,もえるごみ,
,えんぴつ削り器,もえないごみ,
,オアシス（生け花に使うもの）,もえるごみ,
,オイルヒーター（オイルを抜いたもの）（大小問わず）,連絡ごみ,
,オイルヒーター（オイルを抜くことができない）,集積所に出してはいけないごみ,業者又は販売店等へ　また、メーカーにて自社製品等の引き取りを行っている
,オーブン（大小問わず）,連絡ごみ,
,オーブントースター,もえないごみ,
,オーブンレンジ（大小問わず）,連絡ごみ,
,おけ（金属製）,もえないごみ,
,おけ（金属製以外）,もえるごみ,
,おしゃぶり,もえるごみ,
,おたま（金属製）,もえないごみ,
,おたま（金属製以外）,もえるごみ,
,"落ち葉（太さ5cm未満
長さ60cm未満）",もえるごみ,多量にある場合は自己搬入
,"落ち葉（太さ15cm未満
長さ100cm未満）",みどりのリサイクル,みどりのリサイクルを参照
,"落ち葉（太さ5cm以上
又は
長さ60cm以上）",集積所に出してはいけないごみ,再生利用指定業者へ
,汚泥,連絡ごみ,土のう袋1袋までごとに（30リットル）
,おぼん（金属製）,もえないごみ,
,おぼん（金属製以外）,もえるごみ,
,おまる（60cm未満）,もえるごみ,
,おまる（60cm以上）,連絡ごみ,
,おむつ,もえるごみ,汚物は取り除く
,おむつカバー,もえるごみ,
,おもちゃ（金属・ガラス有り）（60cm未満）,もえないごみ,電池類は取り外して「特定品目」
,おもちゃ（金属・ガラス無し）（60cm未満）,もえるごみ,
,折りたたみベッド（大小問わず）,連絡ごみ,
,オルガン,連絡ごみ,重さ100kg以上のものは自己搬入
,オルゴール,もえないごみ,
,おろし金（金属製）,もえないごみ,
,おろし金（金属製以外）,もえるごみ,
,温水器,集積所に出してはいけないごみ,業者又は販売店等へ
,温度計,もえないごみ,電池類は取り外して「特定品目」、ガラス製のものはケース等に入れる
,ガーデニング用フェンス（60cm未満）,もえるごみ,金属類は、可能な限り取り外して「もえないごみ」
,ガーデニング用フェンス（60cm以上）,連絡ごみ,5枚までごとに（90cm×180cmまでのものを1枚とする）
,カーテン（60cm未満）,もえるごみ,長さ60cm未満に切る
,カーテン（60cm以上）,連絡ごみ,5枚までごとに
,ガーデンパラソル（60cm以上）,連絡ごみ,
,カーテンレール（金属製）（60cm未満）,もえないごみ,
,カーテンレール（金属製以外）（60cm未満）,もえるごみ,
,カーテンレール（60cm以上）,連絡ごみ,5本までごとに
,カーナビ,もえないごみ,※使用済小型家電の回収対象品目
,カーバイド（燃料）,集積所に出してはいけないごみ,業者又は販売店等へ
,カーバイドランプ,もえないごみ,燃料は取り除く
,カーペット（切って出す）（60cm未満）,もえるごみ,長さ60cm未満に切り、ひもで縛る（袋不要）
,カーペット（切らずに出す）（60cm以上）,連絡ごみ,6畳未満のもの
,カーペット（切らずに出す）（60cm以上）,連絡ごみ,6畳以上のもの
,カーペット（ホットカーペット・電気カーペット）（大小問わず）,連絡ごみ,
,カーボン紙,もえるごみ,
,カーラー（金属製）,もえないごみ,
,カーラー（金属製以外）,もえるごみ,
,貝殻,もえるごみ,
,懐中電灯,もえないごみ,電池類は取り外して「特定品目」※使用済小型家電の回収対象品目
,カイロ（使い捨て）,もえるごみ,未使用のものは、放熱後に冷ましてから出す
,カイロ（使い捨て以外）,もえないごみ,
,鏡（60cm未満）,もえないごみ,割れたものは危なくないように紙等で包む
,鏡（60cm以上）,連絡ごみ,
,学習机（60cm以上）,連絡ごみ,
,額縁（金属・ガラス有り）（60cm未満）,もえないごみ,
,額縁（金属・ガラス無し）（60cm未満）,もえるごみ,
,額縁（60cm以上）,連絡ごみ,
,傘（長さ問わず）,もえないごみ,浜松市指定家庭用ごみ袋に入れる（袋からはみ出る場合は、口を固く縛る等して飛び出ないようにする）
,加湿器（60cm未満）,もえないごみ,
,加湿器（60cm以上）,連絡ごみ,電池類は取り外して「特定品目」
,菓子袋（プラマーク有り）,プラスチック製容器包装,汚れているものは「もえるごみ」
,ガスコンロ（大小問わず）,連絡ごみ,
,ガス炊飯器（大小問わず）,連絡ごみ,
,ガスストーブ（大小問わず）,連絡ごみ,ビルトインタイプは、業者又は販売店等へ
,ガスストーブ（ビルトインタイプ）,集積所に出してはいけないごみ,業者又は販売店等へ
,ガステーブル（大小問わず）,連絡ごみ,電池類は取り外して「特定品目」
,ガスレンジマット（アルミ製・不燃紙製）,もえないごみ,長さ60cm未満に切る
,カセットコンロ,もえないごみ,電池類・卓上ガスボンベは取り外して「特定品目」
,カセットテープ（ケースを含む）,もえるごみ,
,カセットプレーヤー（60cm未満）,もえないごみ,
,カセットプレーヤー（60cm以上）,連絡ごみ,
,カセットボンベ,特定品目,中身は可能な限り使い切る（穴あけは不要）、キャップは取り外す
,ガソリン,集積所に出してはいけないごみ,業者又は販売店等へ
,ガソリン携行缶,もえないごみ,中身は使い切る、ふたは取り外す
,カタログ,集団回収対象品目,資源物集団回収にご協力ください
,カッター,もえないごみ,危なくないように刃は紙等で包む
,カットマネキン,もえるごみ（自己搬入）,集積所に排出されていると、住民が驚く可能性があるため、自己搬入に限る
,カッパ（雨具）,もえるごみ,長さ60cm未満に切る
,カップ麺の容器（紙製）,もえるごみ,
,カップ麺の容器（プラマーク有り）,プラスチック製容器包装,汚れているものは「もえるごみ」
,かつら,もえるごみ,
,家庭菜園用器具（スコップ・シャベル・カッサライ・ジョレン）（60cm未満）,もえないごみ,
,家庭菜園用器具（スコップ・シャベル・カッサライ・ジョレン）（60cm以上）,連絡ごみ,家庭菜園用器具（スコップ、シャベル、カッサライ、ジョレン、クワ、ツルハシ等）を5本までごとに
,家庭菜園用器具（クワ・ツルハシ）（大小問わず）,連絡ごみ,家庭菜園用器具（スコップ、シャベル、カッサライ、ジョレン、クワ、ツルハシ等）を5本までごとに
,金網（フェンスに使うような金網）（60cm未満）,もえないごみ,
,金網（フェンスに使うような金網）（60cm以上）,連絡ごみ,1枚までごとに（90cm×180cmまでのものを1枚とする）
,かなづち,もえないごみ,
,かなだわし,もえないごみ,
,カヌー（大小問わず）,連絡ごみ,自己搬入に限る
,かばん（60cm未満）,もえるごみ,金属類は、可能な限り取り外して「もえないごみ」
,かばん（60cm以上）,連絡ごみ,
,画鋲,もえないごみ,危なくないように紙等で包む
,花瓶・花器（金属製・ガラス製・陶器製）,もえないごみ,割れたものは危なくないように紙等で包む
,花瓶・花器（プラスチック製）,もえるごみ,
,釜（大小問わず）,連絡ごみ,炊飯や湯沸かし用の金属製の道具
,カマ（鎌）,もえないごみ,危なくないように刃は紙等で包む
,紙（新聞紙・雑誌・雑がみ・段ボール・紙パック等）,集団回収対象品目,資源物集団回収にご協力ください※紙パックのプラスチック部分は取り除き、プラマークのあるものは「プラスチック製容器包装」、ないものは「もえるごみ」へ
,紙（シュレッダーしたもの）,もえるごみ,
,紙（再生利用できないもの）,もえるごみ,
,紙おむつ,もえるごみ,汚物は取り除く
,かみそり,もえないごみ,危なくないように刃は紙等で包む
,カメラ,もえないごみ,電池類は取り外して「特定品目」※使用済小型家電の回収対象品目
,カメラケース（金属製）,もえないごみ,
,カメラケース（金属製以外）,もえるごみ,
,カラーボックス（60cm未満）,もえるごみ,
,カラーボックス（60cm以上）,連絡ごみ,幅・奥行・高さの合計150cm未満
,カラーボックス（60cm以上）,連絡ごみ,幅・奥行・高さの合計150cm以上250cm未満
,カラーボックス（60cm以上）,連絡ごみ,幅・奥行・高さの合計250cm以上
,カラオケセット（マイク型）,もえないごみ,
,カラオケセット（マイク型除く）（大小問わず）,連絡ごみ,
,ガラス（60cm未満）,もえないごみ,割れたものは危なくないように紙等で包む
,ガラス（60cm以上）,連絡ごみ,1枚までごとに（90cm×180cmまでのものを1枚とする）危なくないように紙等で包む
,ガラスケース（60cm未満）,もえないごみ,
,ガラスケース（60cm以上）,連絡ごみ,幅・奥行・高さの合計200cm未満
,ガラスケース（60cm以上）,連絡ごみ,幅・奥行・高さの合計200cm以上
,軽石,もえないごみ,
,革製品（靴・ジャンパーなど）,もえるごみ,金属類は、可能な限り取り外して「もえないごみ」
,瓦（大小問わず）,連絡ごみ,土のう袋1袋までごとに（30リットル）、自分で交換したものに限る
,換気扇（60cm未満）,もえないごみ,
,換気扇（60cm以上）,連絡ごみ,
,緩衝材（プラマーク有り）,プラスチック製容器包装,汚れているものは「もえるごみ」
,緩衝材（プラマーク無し）,もえるごみ,
,乾燥剤,もえるごみ,乾燥剤に表記されている注意事項に従って出す
,乾電池,特定品目,
,感熱紙,もえるごみ,
,観葉植物,もえるごみ,木・土・容器を分別して出す　土は「連絡ごみ」　木は「もえるごみ」、「みどりのリサイクル」、「再生利用指定業者」へ
,かん（飲料・食料品）（アルミ缶）,集団回収対象品目,資源物集団回収にご協力ください、中身は使い切って、水ですすぐか、紙・布等で拭き取る、缶切り等で開けた後のふたは「もえないごみ」
,かん（飲料・食料品）（一斗缶を除く）,びん・かん・ペットボトル,中身は使い切って、水ですすぐか、紙・布等で拭き取る、缶切り等で開けた後のふたは「もえないごみ」
,かん（飲料・食料品）（汚れの落ちないもの）,もえないごみ,
,かん（飲料・食料品以外）,もえないごみ,
,かん（飲料・食料品以外）（ドラム缶）（大小問わず）,連絡ごみ,
,キーボード（楽器）（脚無し）（60cm未満）,もえないごみ,
,キーボード（楽器）（脚無し）（60cm以上）,連絡ごみ,
,"木くず（角材・木材等）（太さ5cm未満
長さ60cm未満）",もえるごみ,ひもで束ねる（袋不要）多量にある場合は自己搬入
,"木くず（角材・木材等）（太さ5cm以上
又は
長さ60cm以上）",集積所に出してはいけないごみ,再生利用指定業者へ
,義手・義足（大小問わず）,連絡ごみ,排出されていると、住民が驚く可能性があるため、布・紙等で包む
,ギター（金属有り）（60cm未満）,もえないごみ,
,ギター（金属無し）（60cm未満）,もえるごみ,
,ギター（60cm以上）,連絡ごみ,
,ギターアンプ（大小問わず）,連絡ごみ,
,キックボード（金属製）（大小問わず）,連絡ごみ,
,キックボード（金属製以外）（60cm未満）,もえないごみ,ホイール部分等に金属が使用されている可能性があるため「もえないごみ」の取り扱い
,キックボード（金属製以外）（60cm以上）,連絡ごみ,
,木づち（たたく部分の直径が5cm未満）,もえるごみ,
,木づち（たたく部分の直径が5cm以上）,連絡ごみ,
,きね（杵）,連絡ごみ,たたく部分の直径が5cm未満で、長さ60cm未満のものは「もえるごみ」
,義歯,もえないごみ,
,ギプス,集積所に出してはいけないごみ,病院等へ
,気泡緩衝材（プラマーク有り）,プラスチック製容器包装,汚れているものは「もえるごみ」
,気泡緩衝材（プラマーク無し）,もえるごみ,
,脚立（60cm未満）,もえないごみ,
,脚立（60cm以上）,連絡ごみ,
,キャップ（筆記用具用）（金属製）,もえないごみ,
,キャップ（筆記用具用）（金属製以外）,もえるごみ,
