city_id,name,category,note
,植木鉢,埋立・乾電池,せともの
,鏡,埋立・乾電池,
,ガラス,埋立・乾電池,
,乾電池,埋立・乾電池,透明な袋に入れて乾電池とわかるように
,コップ,埋立・乾電池,ガラス製
,使い捨てカイロ,埋立・乾電池,
,電球,埋立・乾電池,
,陶器,埋立・乾電池,
,紙箱,古紙,束ねてしばる
,雑誌,古紙,新聞・折り込みチラシ・ダンボールは混ぜない、束ねてしばる
,新聞・折込チラシ,古紙,雑誌・ダンボールを混ぜない、束ねてしばる
,ダンボール,古紙,新聞・雑誌をまぜない、束ねてしばる
,本,古紙,束ねてしばる
,編機,金属,
,衣装缶,金属,金属製の50×90センチぐらいのもの
,王冠,金属,
,オーブントースター,金属,家庭用
,おもちゃ,金属,ラジコンカーなど金属部分のあるもの 可燃部分をなるべく取り除く
,カーテンレール,金属,金属製のもの プラスチック製のものはもえるごみ
,角ハンガー,金属,
,傘,金属,金属製のほねのもの ほね・布・ビニール部分に分ける
,加湿器,金属,
,ガス台,金属,
,ガス湯沸かし器,金属,瞬間湯沸かし器 屋外設置型を除く
,換気扇,金属,家庭用
,カメラ,金属,感光フィル厶式、デジタルカメラ
,キーボード,金属,演奏用（ピアノ除く） 1メートル以上のものは粗大ごみ
,くん煙剤容器類,金属,
,ゲームのコントローラー,金属,
,コンポーネントステレオ,金属,大型、旧式のものは粗大ごみ
,米櫃（ひつ）,金属,米櫃のみの小型のもの、電子レンジ台付きのものは粗大ごみ
,ゴルフバック,金属,クラブを含む
,サマーベッド,金属,プールサイド・ビーチで使用する折りたたみ式
,磁石・マグネットシール,金属,
,芝刈機（電動式）,金属,家庭用（小型のもの）
,照明器具,金属,かさ（もえるごみ）器具（金属）、蛍光灯（埋立）
,除湿機,金属,
,水筒,金属,タンブラーを含む
,炊飯器,金属,家庭用
,ストーブ,金属,
,扇風機,金属,指定袋に入れる
,掃除機,金属,
,卓上ミシン,金属,
,チャイルドシート,金属,
,使い捨てライター,金属,中のガスを使いきる
,釣竿,金属,竹製のものはもえるごみ
,電話機,金属,
,電子レンジ,金属,
,電燈類,金属,かさ・器具・蛍光灯を分別する
,時計,金属,
,ドライヤー,金属,
,トイレ便座,金属,温暖便座、洗浄型便座
,鍋・ヤカン,金属,
,パイプ椅子,金属,事務用回転椅子は粗大
,はりがねハンガー,金属,
,ビデオ・DVDデッキ,金属,
,ファンヒーター,金属,かならず灯油・電池は除く
,プリンター（PC用）,金属,スキャナーも含む
,ベビーカー,金属,
,包丁・ナイフ,金属,刃の部分を紙で包んで刃物と表示
,ポット,金属,まほうびん（中が割れるもの）も金属
,ミキサー,金属,ガラス部分は埋立ごみ
,モデム,金属,
,物干ざお,金属,
,ラジカセ,金属,
,ランチジャー,金属,プラスチック製中容器はもえるごみ
,ランドセル,金属,
,ワープロ,金属,
,アルバム,もえるごみ,指定袋に入れる
,衣装ケース,もえるごみ,プラスチック製（1段のもの）指定袋に入れる
,衣類,もえるごみ,
,植木鉢,もえるごみ,プラスチック製 少量、指定袋に入れる
,落ち葉・小枝・板切れ,もえるごみ,
,貝がら,もえるごみ,
,カセットテープ,もえるごみ,家庭から出る少量のもの
,紙おむつ,もえるごみ,汚物をとってもえるごみ
,クーラーボックス,もえるごみ,指定袋に入るもの（それ以上大きいものは粗大ゴミ）
,ござ,もえるごみ,指定袋に入れる
,ゴム・革類,もえるごみ,
,ゴルフボール,もえるごみ,
,座布団,もえるごみ,指定袋に入れる
,CD・DVD,もえるごみ,
,ジュニアシート,もえるごみ,
,スキー靴,もえるごみ,
,すだれ,もえるごみ,指定袋に入れる
,剪定枝,もえるごみ,
,食用油,もえるごみ,新聞紙などに浸し、指定袋に入れる
,トイレ便座,もえるごみ,指定袋に入れること(電気式を除く上戴式プラスチック製)
,発泡スチロール製箱,もえるごみ,指定袋に入れる
,ハンガー（プラスチック製、木製）,もえるごみ,金属部分は取り除き金属
,ビデオテープ,もえるごみ,
,ファイル・バインダー類,もえるごみ,金属、プラスティック・紙部分に分ける
,プラスティック・ビニール類,もえるごみ,
,プランター,もえるごみ,指定袋に入れる
,フロッピーディスク,もえるごみ,
,風呂ふた,もえるごみ,指定袋に入れる
,ヘルメット,もえるごみ,指定袋に入れる
,ほうき,もえるごみ,指定袋に入れる
,ボウリングの玉,もえるごみ,
,ポリタンク,もえるごみ,指定袋に入れる
,ポリバケツ,もえるごみ,指定袋に入らないものは粗大ごみ
,保冷剤,もえるごみ,
,マッチ,もえるごみ,濡らしてから捨てる
,毛布,もえるごみ,５０cm四方に裁断し指定袋に入れる
,レコード盤,もえるごみ,
,びん類,びん,色別に分ける
,ガスカートリッジ,カン,中のガスを抜くこと
,カン（18リットル以下）,カン,1斗カン5個以上の場合は自己搬入してください
,スプレー缶,カン,中のガスを抜く
