city_id,name,category,note
,アダプター,金属類,金属類として出してください
,アルミ箔,燃えるごみ,町指定袋へ入れてください
,安全靴,燃えるごみ,町指定袋へ入れてください
,あんま器(イス型),金属類,金属類として出してください
,一輪車(運搬用),金属類,金属類として出してください
,一輪車(子供用),金属類,金属類として出してください
,一升瓶,"収集しません
",購入店舗で引取り、小中学校資源回収へ
,衣類乾燥機,"収集しません
",家電リサイクル対象商品
,植木鉢,ガラス・陶磁器類,ガラス・陶磁器類として出してください
,エアコン,収集しません,家電リサイクル対象商品
,LED蛍光灯,金属類,金属類として出してください
,エレクトーン,金属類,金属類として出してください
,延長コード,金属類,金属類として出してください
,オイルヒーター,金属類,金属類として出してください
,オイルライター,金属類,金属類として出してください
,オートバイ(スクーター),収集しません,二輪車リサイクル対象商品
,オーブントースター,金属類,金属類として出してください
,お菓子の箱（紙製）,資源類,古紙類の日に白い紙紐で縛って出してください
,おもちゃ(金属製),金属類,金属類として出してください
,おもちゃ(プラスチック製),燃えるごみ,町指定袋へ入れてください
,オルガン,集積場所には出せません,直接搬入(燃えるごみ)
,温度計,燃えるごみ,町指定袋へ入れてください
,温度計（水銀式）,収集しません,役場へ直接出してください
,カーボン紙,燃えるごみ,町指定袋へ入れてください
,カーテン,燃えるごみ,町指定袋へ入れてください
,懐中電灯,燃えるごみ,分解してプラスチックは撚えるごみへ、金属部分は金属類へ※電池を外してください
,鏡,ガラス・陶磁器類,ガラス・陶磁器類として出してください
,掛け時計,金属類,金属類として出してください※電池を外してください
,傘,燃えるごみ,布・ビニール部分は燃えるごみへ、金属部分は金属類として出してください
,加湿器,金属類,町指定袋へ入れてください
,ガスコンロ,金属類,使い切って穴を開けてから金属類として出してください
,カセットテープ,燃えるごみ,町指定袋へ入れてください
,カセットボンベ,金属類,使い切って穴を開けてから金属類として出してください
,かばん(布ビ二一ル製・革製),燃えるごみ,町指定袋へ入れてください
,紙おむつ,燃えるごみ,町指定袋へ入れてください
,かみそり,金属類,空き缶等に入れて金属類として出してください
,カメラ,金属類,金属類として出してください
,緩衝材(クッション材),燃えるごみ,町指定袋へ入れてください
,乾燥剤,燃えるごみ,町指定袋へ入れてください
,乾電池,資源類,乾雷池の専用コンテナに入れてください
,寒冷遮,収集しません,取扱店へご相談ください
,脚立,金属類,金属類として出してください
,キャリア(自動車用),金属類,金属類として出してください
,鏡台,集積場所には出せません,直接搬入(燃えるごみ)
,クーラーボックス,燃えるごみ,町指定袋へ入れてください
,蛍光灯,資源類,専用コンテナに入れてください
,蛍光灯（割れたもの）,金属類,金属類として出してください
,携帯電話,収集しません,販売店でのリサイクル回収へお願いします
,化粧びん,ガラス・陶磁器類,ガラス・陶磁器類として出してください
,下駄箱,集積場所には出せません,直接搬入(燃えるごみ)
,こたつ,集積場所には出せません,直接搬入
,米びつ(大型),金属類,金属類として出してください
,米びつ(プラスチック製),燃えるごみ,町指定袋へ入れてください
,ゴルフクラブ,金属類,金属類として出してください
,ゴルフバック,燃えるごみ,町指定袋をつけるか、直接搬入してください
,サーフボード,集積場所には出せません,直接搬入(燃えるこみ)
,座椅子,燃えるごみ,分解し分別してください
,皿(プラスチック製),燃えるごみ,町指定袋へ入れてください
,三輪車,金属類,金属類として出してください
,ＣＤ,燃えるごみ,町指定袋へ入れてください
,自転車,金属類,金属類として出してください
,芝刈り機(家庭用),金属類,金属類として出してください
,じゅうたん,燃えるごみ,小さくして紐で縛って、町指定袋をつけるか、直接搬入してください
,充電式電池,収集しません,販売店等へお問合わせください
,消火器,収集しません,販売店等へお問合わせください
,照明器具,燃えるごみ,分解し分別してください
,浄水器,金属類,金属類として出してください
,食器洗乾燥機,金属類,金属類として出してください
,食器類(陶器、磁器),ガラス・陶磁器類,ガラス・陶磁器類として出してください
,水槽(アクリル製),燃えるごみ,町指定袋へ入れてください
,水槽(ガラス製),ガラス・陶磁器類,ガラス・陶磁器類として出してください
,水筒(ステンレス製),金属類,金属類として出してください
,水筒(プラスチック製),燃えるごみ,町指定袋へ入れてください
,スーツケース,燃えるごみ,町指定袋をつけるか、直接搬入してください
,スキー板,集積場所には出せません,直接搬入(燃えるごみ)
,スキー靴,燃えるごみ,町指定袋へ入れてください
,スキーストック,金属類,金属類として出してください
,ステレオ,金属類,金属類として出してください
,ストーブ,金属類,金属類として出してください※灯油を必ず抜いてください
,スノーボードの板,集積場所には出せません,直接搬入(燃えるごみ)
,スプレー缶,金属類,使い切って穴を開けてから金属類として出してください
,洗濯機,収集しません,家電リサイクル対象商品
,洗濯ハンガー(金属製),金属類,金属類として出してください
,洗濯ハンガー(プラスチック製),燃えるごみ,町指定袋へ入れてください
,剪定枝,燃えるごみ,60㎝位で紐で縛って町指定袋をつけてください(1度に3～4束まで)多量の場合は直接搬入
,扇風機,金属類,金属類として出してください
,双眼鏡,金属類,金属類として出してください
,掃除機,燃えるごみ,ホースは町指定袋へ入れて燃えるごみへ、本体は金属類として出してください
