city_id,name,category,note
,アイスノン,燃えるごみ,
,アイロン,燃えないごみ,コードは根元から切って束ねて出す。指定袋に入らないものは直接搬入。
,空きびん（農薬）,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,空きびん（ジュース、洋酒等）,資源物,
,空きびん（ビールびん、一升びん）,資源物,酒類販売店へ問合せ。
,アコーディオンカーテン,直接搬入するごみ,布と枠に分ける。
,畦波（あぜなみ）,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,アタッシュケース,燃えないごみ,指定袋に入らないものは直接搬入。
,アダプター（AC）,燃えないごみ,コードは根元から切って束ねて出す。
,圧力鍋,燃えないごみ,
,網戸（網）,直接搬入するごみ,網と枠に分ける。網は燃えるごみ。
,アルバム,燃えるごみ,
,アルミ鍋,燃えないごみ,指定袋に入らないものは直接搬入。
,アルミホイール（車）,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,アルミホイル・アルミカップ,燃えないごみ,汚れているものは燃えるごみ。
,安全靴,燃えるごみ,
,アンプ,燃えないごみ,指定袋に入らないものは直接搬入。
,生花スポンジ（オアシス）,燃えるごみ,
,衣装ケース,直接搬入するごみ,
,いす,直接搬入するごみ,
,板,燃えるごみ,指定袋に入らないものは直接搬入。直接搬入の時は、幅90cm、長さ2m、太さ10cm以内。
,一輪車（運搬用）,直接搬入するごみ,家庭で使用のものに限る。
,一輪車（スポーツ用）,直接搬入するごみ,
,井戸用ポンプ,直接搬入するごみ,
,犬小屋,直接搬入するごみ,
,衣類,燃えるごみ,直接持ち込む場合は、ひもで十字に縛って出す。きれいなものは衣類回収へ。
,衣類乾燥機,リサイクル家電,購入元へ。（家電リサイクル法）
,入れ歯,燃えるごみ,
,印鑑（はん）,燃えるごみ,
,インクリボン,燃えるごみ,
,ウインドサーフィンのボード,直接搬入するごみ,
,植木鉢（陶器）,燃えないごみ,プラスチック製のものは燃えるごみ。
,ウォシュレット,燃えないごみ,コードは根元から切って束ねて出す。
,浮き輪,燃えるごみ,
,うす,直接搬入するごみ,
,うちわ,燃えるごみ,
,ウッドカーペット,直接搬入するごみ,
,乳母車,直接搬入するごみ,
,ウレタンマット,燃えるごみ,
,エアコン（窓エアコン）,リサイクル家電,購入元へ。（家電リサイクル法）
,枝・木（少量）,燃えるごみ,指定袋に入る大きさに切る。
,枝・木（多量）,直接搬入するごみ,草木処理業者へ。
,絵の具,燃えるごみ,
,MDディスク,燃えるごみ,
,延長コード,燃えないごみ,束ねて出す。
,塩ビ管,燃えるごみ,なるべく小さくして出す。
,オイル缶（個人購入）,燃えないごみ,中身を空にする。
,オートバイ（原動機付自転車を含む）,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,オーブントースター,燃えないごみ,指定袋に入らないものは直接搬入。コードは根元から切って束ねて出す。
,オーブンレンジ,燃えないごみ,指定袋に入らないものは直接搬入。コードは根元から切って束ねて出す。
,おしゃぶり,燃えるごみ,
,汚泥,受け入れできないもの,専門の処理業者に問合せ。
,おまる,燃えるごみ,
,おもちゃ,燃えるごみ,金属製のものは燃えないごみ。電池は抜いて出す。
,オルガン・エレクトーン,直接搬入するごみ,
,オルゴール,燃えないごみ,指定袋に入らないものは直接搬入。
,温水器,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,温度計,燃えないごみ,水銀入りの物は別回収。回収日、回収場所は市役所からお知らせします。
,温風ヒーター,燃えないごみ,指定袋に入らないものは直接搬入。
,ガーデニングの土,直接搬入するごみ,２袋以内。廃葉土と混ぜて再利用又は販売店に相談。
,カーテン,燃えるごみ,指定袋に入らないものは直接搬入。きれいなものは衣類回収へ。
,カーテンレール,直接搬入するごみ,指定袋に入る物は燃えないごみ。
,カーペット,直接搬入するごみ,指定袋に入る物は燃えるごみ。
,カーボン紙,燃えるごみ,
,カーラー,燃えるごみ,
,貝殻,燃えるごみ,
,懐中電灯,燃えないごみ,電池を抜いて出す。
,化学薬品,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,鏡,燃えないごみ,危なくないようにビニール袋等で包む。
,家具,直接搬入するごみ,できる範囲で解体、分別すること。
,傘,燃えないごみ,燃えるごみと燃えないごみに分けて出す。指定袋に入らないものは直接搬入。束ねて開かないように縛る。
,加湿器,燃えないごみ,指定袋に入らないものは直接搬入。
,菓子袋（プラスチック製）,資源物,
,ガステーブル,直接搬入するごみ,電池を抜いて出す。
,ガスヒーター,直接搬入するごみ,
,ガスボンベ,受け入れできないもの,購入元もしくは専門の処理業者に問合せ。
,カセットガスボンベ（卓上用）,燃えないごみ,ボンベは使い切ってから穴を開ける。
,カセットコンロ（卓上コンロ）,燃えないごみ,ボンベは抜いて出す。
,カセットテープ,燃えるごみ,
,カッターの刃,燃えないごみ,危なくないようにビニール袋等で包む。
,カッパ（雨具）,燃えるごみ,
,カップめんの容器（プラスチック製）,資源物,紙製のものは燃えるごみ。
,かつら,燃えるごみ,
,金づち,燃えないごみ,柄は燃えるごみへ、金属部分は燃えないごみ。
,かばん,燃えるごみ,指定袋に入らないものは直接搬入。きれいなものは衣類回収へ。
,画板,燃えるごみ,
,画びょう,燃えないごみ,危なくないようにビニール袋等で包む。
,鎌,燃えないごみ,刃は危なくないようにビニール袋等で包む。
,紙おむつ,燃えるごみ,汚物は必ずトイレに流す。
,かみそり,燃えないごみ,危なくないようにビニール袋等で包む。
,紙粘土,燃えるごみ,
,紙パック（中が銀色の物）,燃えるごみ,
,ガムテープ,燃えるごみ,
,カメラ,燃えないごみ,電池を抜いて出す。
,カラーボックス（木製）,燃えるごみ,指定袋に入らないものは直接搬入。
,ガラス,燃えないごみ,危なくないようにビニール袋等で包む。
,軽石,燃えないごみ,
,革製品,燃えるごみ,
,瓦（少量）,燃えないごみ,指定袋に入らないものは直接搬入。家庭で使用したものに限る。
,缶（油・塗料などの一斗缶）,燃えないごみ,使い切ってから出す。家庭で使用のものに限る。残油は古布等に吸わせて燃えるごみ。
,缶（アルミ・スチール）,資源物,
,換気扇,燃えないごみ,指定袋に入らないものは直接搬入。
,緩衝材（プラスチック製）,資源物,梱包時に、物が壊れないように包むもの。
,乾燥剤,燃えるごみ,
