city_id,name,category,note
,アダプター,燃えないごみ,金属類コンテナへ出してください
,アルミ箔,燃えるごみ,指定袋へ入れてください
,安全靴,燃えるごみ,指定袋へ入れてください
,一輪車（運搬用）,集積場所には出せない物,直接搬入（燃えないごみ）又は戸別収集
,一輪車（子供用）,燃えないごみ,金属類コンテナへ出してください
,衣装ケース（プラスチック）,燃えるごみ,指定袋へ入れてください
,植木鉢,資源類,陶磁器類コンテナへ出してください
,乳母車,集積場所には出せない物,直接搬入（燃えないごみ）又は戸別収集
,LED(蛍光灯タイプ）,資源類,環境課へお問い合わせください
,エレクトーン,集積場所には出せない物,直接搬入（燃えないごみ）又は戸別収集
,延長コード,燃えないごみ,金属類コンテナへ出してください
,オイルヒーター,集積場所には出せない物,直接搬入（燃えないごみ）又は戸別収集
,オイルライター,燃えないごみ,金属類コンテナへ出してください
,オーブントースター,燃えないごみ,金属類コンテナへ出してください
,お菓子の箱,資源類,古紙類の日に白い紙紐で縛って出してください
,おもちゃ（金属製）,燃えないごみ,金属類コンテナへ出してください
,おもちゃ（プラスチック製）,燃えるごみ,指定袋へ入れてください
,オルガン,集積場所には出せない物,直接搬入（燃えるごみ）又は戸別収集
,温度計,燃えるごみ,指定袋へ入れてください
,カーボン紙,燃えるごみ,指定袋へ入れてください
,鏡,資源類,陶磁器類コンテナへ出してください
,傘,燃えるごみ/資源類,布・ビニール部分は燃えるごみへ　　　　　　　　　　金属部分は金属類コンテナへ出してください
,加湿器,燃えないごみ,金属類コンテナへ出してください
,ガスコンロ,燃えないごみ,金属類コンテナへ出してください
,カセットテープ,燃えるごみ,指定袋へ入れてください
,カセットボンベ,燃えないごみ,使い切って穴を開けてから専用コンテナへ出してください
,かばん（布・ビニール製）,燃えるごみ,指定袋へ入れてください
,紙おむつ,燃えるごみ,指定袋へ入れてください
,かみそり,燃えないごみ,金属類コンテナへ出してください
,カメラ,燃えないごみ,金属類コンテナへ出してください
,緩衝材（クッション材）,燃えるごみ,指定袋へ入れてください
,乾燥剤,燃えるごみ,指定袋へ入れてください
,乾電池,資源類,専用コンテナに入れてください
,脚立,集積場所には出せない物,直接搬入（燃えないごみ）または戸別収集
,キャリア（自動車用）,集積場所には出せない物,直接搬入（燃えないごみ）または戸別収集
,鏡台,集積場所には出せない物,環境課へお問い合わせください
,空気清浄機,燃えないごみ,金属類コンテナへ出してください
,クーラーボックス,燃えるごみ,指定袋へ入れてください
,蛍光灯,資源類,専用コンテナに入れてください
,携帯電話,燃えないごみ/販売店,販売店回収又は金属類コンテナへ
,化粧びん,資源類,陶磁器類コンテナへだしてください
,下駄箱,集積場所には出せない物,直接搬入（燃えるごみ）または戸別収集
,こたつ,燃えるごみ/燃えないごみ,分解し、分別してください　大きさによっては直接搬入（燃えないごみ）または戸別収集
,米びつ・（大型）,集積場所には出せない物,直接搬入（燃えないごみ）または戸別収集
,米びつ・（プラスチック製）,燃えるごみ,指定袋へ入れてください
,ゴルフクラブ,燃えないごみ,金属類コンテナへ出してください
,ゴルフバッグ,燃えるごみ,そのまま出してください
,サーフボード,集積場所には出せない物,直接搬入（燃えるごみ）または戸別収集
,座椅子,燃えるごみ/燃えないごみ,分解し分別してください
,皿（プラスチック製）,燃えるごみ,指定袋へ入れてください
,三輪車,燃えないごみ,金属類コンテナへ出してください
,CD(DVD),燃えるごみ,指定袋へ入れてください
,自転車（電動を含む）,集積場所には出せない物,直接搬入（燃えないごみ）または戸別収集
,芝刈り機（家庭用）,燃えないごみ,金属類コンテナへ出してください
,じゅうたん,燃えるごみ,小さくして紐で縛ってください
,照明器具,燃えるごみ/燃えないごみ,分解し分別してください
,浄水器,燃えないごみ,金属類コンテナへ出してください
,食器乾燥機,燃えないごみ,金属類コンテナへ出してください
,食器類(陶器、磁器),資源類,陶磁器類コンテナへ出してください
,除湿機,集積場所には出せない物,専門店又は環境課へお問い合わせください。
,シルバーカー,燃えないごみ,金属類コンテナへ出してください
,水槽（アクリル製）,燃えるごみ,指定袋へ入れてください
,水槽(ガラス製),資源類,陶磁器類コンテナへ出してください
,水筒,燃えるごみ/燃えないごみ,環境課へお問い合わせください
,炊飯器,燃えないごみ,金属類コンテナへ出してください
,スーツケース,燃えるごみ,指定袋へ入れてください
,スキー板,集積場所には出せない物,直接搬入（燃えるごみ)又は戸別収集
,スキー靴,燃えるごみ,指定袋へ入れてください
,スキーストック,燃えないごみ,金属類コンテナへ出してください
,ステレオ,燃えないごみ,金属類コンテナへ出してください
,ストーブ,燃えないごみ,金属類コンテナへ出してください
,スノーボード,燃えるごみ,そのまま出してください
,スピーカー,燃えるごみ/燃えないごみ,分解し分別してください
,スプレー缶,燃えないごみ,使い切って穴を開けてから専用コンテナへ出してください
,洗濯ハンガー(金属製),燃えないごみ,金属類コンテナへ出してください
,洗濯ハンガー(プラスチック製),燃えるごみ,指定袋へ入れてください
,剪定枝,燃えるごみ,60cm位で紐で縛ってください(一度に3～4束まで)多量の場合は直接搬入
,扇風機,燃えないごみ,金属類コンテナへ出してください
,双眼鏡,燃えないごみ,金属類コンテナへ出してください
,掃除機,燃えるごみ/燃えないごみ,ホースは指定袋へ入れて燃えるごみへ本体は金属類コンテナへ出してください
,ソファー,集積場所には出せない物,直接搬入（燃えるごみ)又は戸別収集
,耐火金庫,集積場所には出せない物,直接搬入（燃えないごみ)
,体温計(水銀式),集積場所には出せない物,専門店にご相談ください
,体温計(電池式),燃えないごみ,金属類コンテナへ出してください
,タイヤチェーン,燃えるごみ/燃えないごみ,ゴム製は燃えるごみ、金属製は燃えないごみ
,卓上コンロ,燃えないごみ,金属類コンテナへ出してください
,畳,集積場所には出せない物,環境課へお問い合わせください
,たんす,集積場所には出せない物,直接搬入（燃えないごみ）又は戸別収集
,地球儀,燃えるごみ,指定袋へ入れてください
,チャイルドシート,燃えるごみ,指定袋へ入れてください
,茶箱（木箱）,燃えるごみ/燃えないごみ,環境課へお問い合わせください
